PREM data
depth[km] rho[kg/m3] g[m/s2]
 284.0 3474.0   9.93
 285.0 3474.6   9.93
 286.0 3475.2   9.93
 287.0 3475.8   9.93
 288.0 3476.4   9.93
 289.0 3477.0   9.93
 290.0 3477.6   9.93
 291.0 3478.2   9.93
 292.0 3478.8   9.93
 293.0 3479.4   9.93
 294.0 3480.0   9.93
 295.0 3480.6   9.93
 296.0 3481.2   9.93
 297.0 3481.8   9.93
 298.0 3482.4   9.93
 299.0 3483.0   9.93
 300.0 3483.5   9.93
 301.0 3484.1   9.93
 302.0 3484.7   9.93
 303.0 3485.3   9.93
 304.0 3485.9   9.93
 305.0 3486.5   9.93
 306.0 3487.1   9.93
 307.0 3487.7   9.94
 308.0 3488.3   9.94
 309.0 3488.9   9.94
 310.0 3489.5   9.94
 311.0 3490.1   9.94
 312.0 3490.7   9.94
 313.0 3491.3   9.94
 314.0 3491.9   9.94
 315.0 3492.5   9.94
 316.0 3493.1   9.94
 317.0 3493.7   9.94
 318.0 3494.3   9.94
 319.0 3494.9   9.94
 320.0 3495.5   9.94
 321.0 3496.1   9.94
 322.0 3496.7   9.94
 323.0 3497.3   9.94
 324.0 3497.9   9.94
 325.0 3498.5   9.94
 326.0 3499.1   9.94
 327.0 3499.7   9.94
 328.0 3500.3   9.94
 329.0 3500.9   9.94
 330.0 3501.5   9.94
 331.0 3502.1   9.94
 332.0 3502.7   9.94
 333.0 3503.3   9.94
 334.0 3503.9   9.94
 335.0 3504.4   9.95
 336.0 3505.0   9.95
 337.0 3505.6   9.95
 338.0 3506.2   9.95
 339.0 3506.8   9.95
 340.0 3507.4   9.95
 341.0 3508.0   9.95
 342.0 3508.6   9.95
 343.0 3509.2   9.95
 344.0 3509.8   9.95
 345.0 3510.4   9.95
 346.0 3511.0   9.95
 347.0 3511.6   9.95
 348.0 3512.2   9.95
 349.0 3512.8   9.95
 350.0 3513.4   9.95
 351.0 3514.0   9.95
 352.0 3514.6   9.95
 353.0 3515.2   9.95
 354.0 3515.8   9.95
 355.0 3516.4   9.95
 356.0 3517.0   9.95
 357.0 3517.6   9.95
 358.0 3518.2   9.95
 359.0 3518.8   9.95
 360.0 3519.4   9.95
 361.0 3520.0   9.95
 362.0 3520.6   9.95
 363.0 3521.2   9.96
 364.0 3521.8   9.96
 365.0 3522.4   9.96
 366.0 3523.0   9.96
 367.0 3523.6   9.96
 368.0 3524.2   9.96
 369.0 3524.8   9.96
 370.0 3525.3   9.96
 371.0 3525.9   9.96
 372.0 3526.5   9.96
 373.0 3527.1   9.96
 374.0 3527.7   9.96
 375.0 3528.3   9.96
 376.0 3528.9   9.96
 377.0 3529.5   9.96
 378.0 3530.1   9.96
 379.0 3530.7   9.96
 380.0 3531.3   9.96
 381.0 3531.9   9.96
 382.0 3532.5   9.96
 383.0 3533.1   9.96
 384.0 3533.7   9.96
 385.0 3534.3   9.96
 386.0 3534.9   9.96
 387.0 3535.5   9.96
 388.0 3536.1   9.96
 389.0 3536.7   9.96
 390.0 3537.3   9.96
 391.0 3537.9   9.97
 392.0 3538.5   9.97
 393.0 3539.1   9.97
 394.0 3539.7   9.97
 395.0 3540.3   9.97
 396.0 3540.9   9.97
 397.0 3541.5   9.97
 398.0 3542.1   9.97
 399.0 3542.7   9.97
 400.0 3723.7   9.97
 401.0 3725.0   9.97
 402.0 3726.3   9.97
 403.0 3727.5   9.97
 404.0 3728.8   9.97
 405.0 3730.0   9.97
 406.0 3731.3   9.97
 407.0 3732.6   9.97
 408.0 3733.8   9.97
 409.0 3735.1   9.97
 410.0 3736.4   9.97
 411.0 3737.6   9.97
 412.0 3738.9   9.97
 413.0 3740.1   9.97
 414.0 3741.4   9.97
 415.0 3742.7   9.97
 416.0 3743.9   9.97
 417.0 3745.2   9.97
 418.0 3746.4   9.97
 419.0 3747.7   9.97
 420.0 3749.0   9.97
 421.0 3750.2   9.97
 422.0 3751.5   9.97
 423.0 3752.7   9.97
 424.0 3754.0   9.97
 425.0 3755.3   9.97
 426.0 3756.5   9.97
 427.0 3757.8   9.97
 428.0 3759.0   9.97
 429.0 3760.3   9.97
 430.0 3761.6   9.97
 431.0 3762.8   9.98
 432.0 3764.1   9.98
 433.0 3765.3   9.98
 434.0 3766.6   9.98
 435.0 3767.9   9.98
 436.0 3769.1   9.98
 437.0 3770.4   9.98
 438.0 3771.6   9.98
 439.0 3772.9   9.98
 440.0 3774.2   9.98
 441.0 3775.4   9.98
 442.0 3776.7   9.98
 443.0 3777.9   9.98
 444.0 3779.2   9.98
 445.0 3780.5   9.98
 446.0 3781.7   9.98
 447.0 3783.0   9.98
 448.0 3784.2   9.98
 449.0 3785.5   9.98
 450.0 3786.8   9.98
 451.0 3788.0   9.98
 452.0 3789.3   9.98
 453.0 3790.5   9.98
 454.0 3791.8   9.98
 455.0 3793.1   9.98
 456.0 3794.3   9.98
 457.0 3795.6   9.98
 458.0 3796.8   9.98
 459.0 3798.1   9.98
 460.0 3799.4   9.98
 461.0 3800.6   9.98
 462.0 3801.9   9.98
 463.0 3803.2   9.98
 464.0 3804.4   9.98
 465.0 3805.7   9.98
 466.0 3806.9   9.98
 467.0 3808.2   9.98
 468.0 3809.5   9.98
 469.0 3810.7   9.98
 470.0 3812.0   9.98
 471.0 3813.2   9.98
 472.0 3814.5   9.98
 473.0 3815.8   9.98
 474.0 3817.0   9.98
 475.0 3818.3   9.98
 476.0 3819.5   9.98
 477.0 3820.8   9.98
 478.0 3822.1   9.98
 479.0 3823.3   9.98
 480.0 3824.6   9.98
 481.0 3825.8   9.98
 482.0 3827.1   9.99
 483.0 3828.4   9.99
 484.0 3829.6   9.99
 485.0 3830.9   9.99
 486.0 3832.1   9.99
 487.0 3833.4   9.99
 488.0 3834.7   9.99
 489.0 3835.9   9.99
 490.0 3837.2   9.99
 491.0 3838.4   9.99
 492.0 3839.7   9.99
 493.0 3841.0   9.99
 494.0 3842.2   9.99
 495.0 3843.5   9.99
 496.0 3844.7   9.99
 497.0 3846.0   9.99
 498.0 3847.3   9.99
 499.0 3848.5   9.99
 500.0 3849.8   9.99
 501.0 3851.0   9.99
 502.0 3852.3   9.99
