      0.84      10.26       8.90      10.83       1.00       0.00       0.00
      0.84      10.62       9.26      11.20       1.00       0.00       0.00
      0.85      10.99       9.62      11.57       1.00       0.00       0.00
      0.85      11.35       9.98      11.93       1.00       0.00       0.00
      0.86      11.71      10.34      12.29       1.00       0.00       0.00
      0.86      12.07      10.70      12.65       1.00       0.00       0.00
      0.87      12.43      11.05      13.01       1.00       0.00       0.00
      0.87      12.78      11.41      13.37       1.00       0.00       0.00
      0.88      13.14      11.76      13.72       1.00       0.00       0.00
      0.88      13.49      12.11      14.08       1.00       0.00       0.00
      0.89      13.84      12.46      14.43       1.00       0.00       0.00
      0.89      14.19      12.80      14.78       1.00       0.00       0.00
      0.90      14.54      13.15      15.13       1.00       0.00       0.00
      0.90      14.89      13.50      15.48       1.00       0.00       0.00
      0.91      15.24      13.84      15.83       1.00       0.00       0.00
      0.91      15.58      14.18      16.18       1.00       0.00       0.00
      0.92      15.93      14.53      16.53       1.00       0.00       0.00
      0.92      16.28      14.87      16.87       1.00       0.00       0.00
      0.93      16.63      15.22      17.22       1.00       0.00       0.00
      0.93      16.98      15.57      17.58       1.00       0.00       0.01
      0.94      17.34      15.92      17.94       0.99       0.00       0.01
      0.94      17.71      16.29      18.31       0.99       0.00       0.01
      0.95      18.11      16.68      18.70       0.99       0.00       0.02
      0.95      18.54      17.11      19.13       0.98       0.00       0.03
      0.96      19.03      17.59      19.62       0.97       0.00       0.05
      0.96      19.62      18.17      20.19       0.95       0.00       0.09
      0.97      20.36      18.89      20.91       0.91       0.00       0.14
      0.97      21.31      19.83      21.83       0.86       0.00       0.21
      0.98      22.56      21.04      23.03       0.79       0.01       0.31
      0.98      24.10      22.54      24.52       0.69       0.01       0.42
      0.99      25.80      24.20      26.15       0.57       0.01       0.52
      0.99      27.34      25.70      27.63       0.47       0.01       0.59
      1.00      28.44      26.77      28.69       0.40       0.02       0.61
      1.00      29.10      27.42      29.34       0.37       0.02       0.62
      1.01      29.51      27.83      29.75       0.36       0.02       0.62
      1.01      29.82      28.14      30.06       0.36       0.02       0.62
      1.01      30.09      28.40      30.33       0.36       0.02       0.61
      1.02      30.34      28.65      30.58       0.37       0.02       0.61
      1.02      30.57      28.89      30.82       0.37       0.02       0.60
      1.03      30.81      29.12      31.06       0.38       0.02       0.60
      1.03      31.03      29.34      31.29       0.39       0.02       0.59
      1.04      31.25      29.56      31.52       0.39       0.02       0.58
      1.04      31.46      29.78      31.73       0.40       0.02       0.57
      1.05      31.67      29.99      31.95       0.41       0.02       0.57
      1.05      31.87      30.19      32.15       0.41       0.02       0.56
      1.06      32.07      30.38      32.36       0.42       0.02       0.55
      1.06      32.26      30.57      32.55       0.43       0.02       0.54
      1.07      32.44      30.75      32.74       0.43       0.02       0.53
      1.07      32.61      30.93      32.92       0.44       0.02       0.53
      1.08      32.78      31.10      33.10       0.45       0.03       0.52
      1.08      32.94      31.26      33.27       0.46       0.03       0.51
      1.09      33.10      31.42      33.43       0.46       0.03       0.50
      1.09      33.25      31.57      33.59       0.47       0.03       0.49
      1.10      33.39      31.71      33.73       0.48       0.03       0.48
      1.10      33.52      31.85      33.88       0.49       0.03       0.47
      1.11      33.64      31.98      34.01       0.50       0.03       0.46
      1.11      33.76      32.10      34.14       0.50       0.04       0.45
      1.12      33.87      32.21      34.26       0.51       0.04       0.44
      1.12      33.97      32.31      34.37       0.52       0.04       0.43
      1.13      34.06      32.41      34.47       0.53       0.04       0.42
      1.13      34.14      32.49      34.56       0.53       0.05       0.41
      1.14      34.22      32.57      34.65       0.54       0.05       0.40
      1.14      34.28      32.64      34.72       0.55       0.05       0.39
      1.15      34.33      32.69      34.79       0.55       0.06       0.38
      1.15      34.37      32.74      34.84       0.56       0.06       0.38
      1.16      34.40      32.77      34.88       0.56       0.07       0.37
      1.16      34.41      32.80      34.91       0.56       0.07       0.36
      1.17      34.41      32.80      34.93       0.57       0.08       0.35
      1.17      34.40      32.79      34.93       0.57       0.09       0.34
      1.18      34.37      32.77      34.91       0.57       0.09       0.34
      1.18      34.31      32.72      34.88       0.57       0.10       0.33
      1.19      34.24      32.66      34.82       0.57       0.11       0.33
      1.19      34.14      32.57      34.75       0.56       0.12       0.32
      1.20      34.02      32.46      34.65       0.56       0.13       0.32
      1.20      33.87      32.32      34.52       0.55       0.14       0.31
      1.21      33.69      32.15      34.36       0.54       0.16       0.31
      1.21      33.47      31.95      34.18       0.53       0.17       0.31
      1.22      33.23      31.72      33.96       0.52       0.19       0.31
      1.22      32.95      31.45      33.71       0.50       0.20       0.31
      1.23      32.63      31.16      33.43       0.49       0.22       0.31
      1.23      32.30      30.83      33.12       0.47       0.24       0.31
      1.24      31.93      30.49      32.80       0.45       0.26       0.30
      1.24      31.56      30.14      32.46       0.44       0.27       0.30
      1.25      31.19      29.78      32.12       0.42       0.29       0.30
      1.25      30.82      29.43      31.79       0.41       0.31       0.30
      1.26      30.47      29.10      31.47       0.39       0.32       0.29
      1.26      30.14      28.79      31.18       0.38       0.34       0.29
      1.27      29.84      28.50      30.91       0.37       0.35       0.29
      1.27      29.56      28.24      30.66       0.37       0.36       0.28
      1.28      29.30      28.00      30.44       0.36       0.37       0.28
      1.28      29.07      27.78      30.23       0.35       0.38       0.27
      1.29      28.86      27.58      30.05       0.35       0.39       0.26
      1.29      28.66      27.40      29.88       0.34       0.40       0.26
      1.30      28.48      27.23      29.72       0.34       0.41       0.25
      1.30      28.31      27.08      29.58       0.34       0.42       0.25
